pcc,provincia,dpase14,dpac14,dpadc14,dpap14,dpan14,dde_los_trabajadores14,dde_los_transportistas14,dfa14,dpin14,dpln14,dml14,dpng14,dnps14,dppid14,dppid_puntarenas14,dppn14,dprc14,dprn14,dpusc14,dverde14,dviviapuntarenas14
101,1,7591,40719,0,548,1948,991,622,19988,855,35698,12552,3148,0,283,0,3837,7403,9020,9776,0,0
102,1,1372,8018,0,64,237,149,89,3062,94,8092,4808,959,0,30,0,635,1023,978,1651,0,0
103,1,5313,27318,0,733,1033,640,464,13780,862,25329,6638,1522,0,132,0,2083,5176,6178,7199,0,0
104,1,641,4555,0,49,121,97,104,2043,46,6234,873,194,0,22,0,258,517,583,2076,0,0
105,1,259,1460,0,22,86,79,527,855,21,1860,283,54,0,8,0,86,127,144,1419,0,0
106,1,1607,6625,0,73,254,167,162,3636,186,7620,1581,339,0,22,0,526,863,1005,2466,0,0
107,1,550,3298,0,21,106,79,59,1428,40,3203,1004,216,0,9,0,206,465,541,2217,0,0
108,1,2494,18889,0,125,546,343,292,8225,400,11823,4472,1334,0,177,0,1366,2568,4140,3790,0,0
109,1,667,6222,0,33,148,92,56,2074,59,5768,3088,423,0,16,0,367,683,912,1732,0,0
110,1,2066,6304,0,78,899,214,161,3986,973,5569,2719,345,0,45,0,538,1980,2089,2340,0,0
111,1,1556,12107,0,80,481,231,290,4672,185,6987,2453,751,0,64,0,716,1307,2181,2053,0,0
112,1,356,2013,0,35,110,66,136,1394,28,3985,330,59,0,19,0,127,164,221,1509,0,0
113,1,1515,12371,0,120,424,181,150,4584,160,8352,3066,888,0,60,0,1115,1549,2329,2332,0,0
114,1,986,11011,0,90,246,163,89,3749,159,6070,2593,800,0,53,0,691,932,1909,1693,0,0
115,1,659,11223,0,118,385,178,186,4383,206,6023,2422,1052,0,31,0,684,702,1208,1383,0,0
116,1,67,527,0,10,17,11,4,245,5,1441,187,12,0,3,0,49,29,35,291,0,0
117,1,102,1195,0,19,20,32,107,379,9,1001,103,29,0,5,0,61,50,69,321,0,0
118,1,1484,10861,0,96,297,139,114,3445,149,7066,3704,918,0,36,0,591,1159,1596,1809,0,0
119,1,1494,13592,0,209,207,339,1603,5720,121,17876,2083,431,0,67,0,778,1868,3605,17534,0,0
120,1,208,819,0,69,35,50,424,678,12,1859,197,30,0,6,0,76,79,131,1036,0,0
201,2,6959,33479,0,681,553,958,0,16511,404,31206,10429,1001,0,0,0,2088,5902,5005,10612,0,0
202,2,869,14042,0,180,104,387,0,7586,113,8273,2902,255,0,0,0,2942,947,872,2054,0,0
203,2,1357,11080,0,107,242,208,0,5090,116,11934,2949,245,0,0,0,768,1162,1424,3196,0,0
204,2,59,345,0,24,6,13,0,390,31,1187,200,16,0,0,0,52,79,49,301,0,0
