"","p","pcc","pccdd","distrito","juntas14","inscr14","pvotosrecibidos14","pvalid14","ppase14","ppac14","ppan14","pde_los_trabajadores14","pfa14","ppin14","ppln14","pml14","ppng14","pppn14","pprc14","pprn14","ppusc14","pnulos14","pblancos14","pabs14","dvotosrecibidos14","dvotosvalidos14","dpase14","dpac14","dpadc14","dpap14","dpan14","dde_los_trabajadores14","dde_los_transportistas14","dfa14","dpin14","dpln14","dml14","dpng14","dnps14","dppid14","dppid_puntarenas14","dppn14","dprc14","dprn14","dpusc14","dverde14","dviviapuntarenas14","dnulos14","dblancos14","dabstencionismo14"
"1",1,101,10101,"Carmen",8,4592,3034,2998,4,1035,8,2,452,14,935,318,15,35,5,16,159,31,5,1558,3035,3001,59,821,NA,13,49,11,11,423,33,798,329,90,NA,7,NA,57,46,75,179,NA,NA,23,11,1557
"2",1,101,10102,"Merced",17,9763,6311,6200,17,1929,19,10,1052,15,1968,606,16,127,25,86,330,98,13,3452,6312,6186,242,1521,NA,23,203,32,29,875,38,1581,499,97,NA,9,NA,159,232,261,385,NA,NA,100,26,3451
"3",1,101,10103,"Hospital",34,18788,11959,11706,66,3375,50,38,1960,11,3762,1325,27,222,64,167,639,237,16,6829,11960,11717,763,2489,NA,36,147,136,52,1612,57,2872,959,158,NA,24,NA,284,645,676,807,NA,NA,200,43,6828
"4",1,101,10104,"Catedral",29,15258,10514,10379,38,3641,19,16,1889,19,2918,923,30,217,38,113,518,117,18,4744,10516,10367,470,2801,NA,38,117,47,26,1625,70,2345,749,248,NA,37,NA,340,363,439,652,NA,NA,107,42,4742
"5",1,101,10105,"Zapote",33,17937,13442,13300,41,5740,21,23,1821,23,3649,1031,42,262,42,127,478,132,10,4495,13441,13275,425,4403,NA,55,104,55,44,1698,97,3033,918,331,NA,26,NA,383,365,704,634,NA,NA,129,37,4496
"6",1,101,10106,"San Francisco de Dos Ríos",35,18430,13973,13845,21,6407,26,10,1701,26,3760,987,22,240,25,93,527,115,13,4457,13968,13826,346,5068,NA,50,110,48,26,1624,88,3099,935,334,NA,23,NA,409,380,587,699,NA,NA,117,25,4462
"7",1,101,10107,"Uruca",28,14190,9498,9316,56,2995,19,28,1227,4,2732,1383,22,144,68,105,533,162,20,4692,9491,9305,449,2237,NA,27,143,54,51,994,38,2219,1103,199,NA,7,NA,225,427,419,713,NA,NA,143,43,4699
"8",1,101,10108,"Mata Redonda",14,7290,5274,5219,12,1740,8,4,483,4,1795,738,10,88,18,28,291,47,8,2016,5275,5227,112,1369,NA,16,61,13,15,453,19,1548,728,122,NA,10,NA,116,122,150,373,NA,NA,39,9,2015
"9",1,101,10109,"Pavas",87,49009,33004,32363,151,9575,166,65,4176,42,10102,4681,121,500,287,685,1812,595,46,16005,33011,32314,1593,7159,NA,70,540,228,106,3339,120,7358,3373,653,NA,34,NA,689,2305,2536,2211,NA,NA,559,138,15998
"10",1,101,10110,"Hatillo",75,43653,29751,29213,175,9645,55,61,5166,54,8863,2349,109,447,215,519,1555,500,38,13902,29732,29134,1761,7255,NA,104,262,260,153,4314,166,6686,1757,541,NA,48,NA,614,1574,1877,1762,NA,NA,480,118,13921
"11",1,101,10111,"San Sebastián",54,29937,21013,20687,101,7748,37,22,3601,54,5514,1673,50,331,103,315,1138,307,19,8924,21002,20627,1371,5596,NA,116,212,107,109,3031,129,4159,1202,375,NA,58,NA,561,944,1296,1361,NA,NA,306,69,8935
"12",1,102,10201,"Escazú",22,11896,8817,8694,35,3122,18,18,1017,7,2718,1057,31,148,36,65,422,109,14,3079,8816,8683,349,2388,NA,14,70,50,28,992,27,2290,961,257,NA,5,NA,215,279,291,467,NA,NA,103,30,3080
"13",1,102,10202,"San Antonio",26,13934,9756,9575,91,3473,23,31,1407,11,2619,1033,62,188,69,87,481,167,14,4178,9755,9578,747,2518,NA,22,69,64,40,1232,36,2069,821,348,NA,14,NA,230,491,358,519,NA,NA,152,25,4179
"14",1,102,10203,"San Rafael",33,17524,13129,13016,24,3895,12,20,890,9,4324,2979,30,124,40,67,602,105,8,4395,13130,13000,276,3112,NA,28,98,35,21,838,31,3733,3026,354,NA,11,NA,190,253,329,665,NA,NA,96,34,4394
"15",1,103,10301,"Desamparados",57,30394,22026,21729,88,8519,48,31,3652,42,5840,1601,63,343,103,296,1103,265,32,8368,22014,21689,893,6307,NA,178,202,126,86,3126,133,4886,1186,363,NA,28,NA,543,958,1314,1360,NA,NA,245,80,8380
"16",1,103,10302,"San Miguel",48,26276,17758,17437,113,5897,20,41,2750,103,4840,1910,64,183,106,336,1074,299,22,8518,17754,17387,982,4092,NA,55,106,112,70,2249,296,4071,1198,238,NA,21,NA,289,1136,1149,1323,NA,NA,291,76,8522
"17",1,103,10303,"San Juan de Dios",21,12232,8218,8070,66,2551,17,15,1443,25,2084,992,26,124,57,114,556,131,17,4014,8215,8047,646,1874,NA,32,51,53,37,1197,44,1747,647,101,NA,9,NA,133,370,441,665,NA,NA,130,38,4017
"18",1,103,10304,"San Rafael Arriba",23,11083,7731,7615,24,2739,20,14,1206,16,2161,730,25,97,53,105,425,100,16,3352,7732,7588,348,2129,NA,23,64,41,44,976,40,1803,507,126,NA,6,NA,157,357,430,537,NA,NA,110,34,3351
"19",1,103,10305,"San Antonio",17,8792,6760,6688,16,2941,12,6,951,12,1889,451,8,81,16,54,251,69,3,2032,6758,6655,198,2269,NA,39,41,10,16,878,39,1597,367,153,NA,8,NA,136,222,344,338,NA,NA,83,20,2034
"20",1,103,10306,"Frailes",7,2776,1956,1902,6,487,20,5,299,18,833,75,9,25,4,25,96,45,9,820,1958,1882,80,330,NA,26,85,13,6,183,23,900,42,18,NA,0,NA,29,20,49,78,NA,NA,45,31,818
"21",1,103,10307,"Patarrá",12,6141,4094,3985,34,1338,4,14,588,8,1147,426,16,55,19,67,269,100,9,2047,4095,3999,232,890,NA,9,27,24,12,429,28,1212,282,45,NA,4,NA,71,154,203,377,NA,NA,79,17,2046
"22",1,103,10308,"San Cristóbal",7,3016,2236,2189,12,713,8,7,230,10,941,123,8,30,13,15,79,36,11,780,2236,2158,79,366,NA,195,15,5,15,152,7,1067,70,16,NA,1,NA,50,23,44,53,NA,NA,47,31,780
"23",1,103,10309,"Rosario",9,2708,1911,1860,17,359,6,10,347,2,821,137,6,17,6,4,128,41,10,797,1911,1848,92,251,NA,4,29,10,3,220,16,905,78,11,NA,3,NA,28,30,17,151,NA,NA,38,25,797
"24",1,103,10310,"Damas",17,8924,6514,6396,32,2536,6,10,1042,15,1553,604,21,97,39,121,320,102,16,2410,6511,6379,361,1813,NA,35,44,45,37,869,52,1317,370,105,NA,13,NA,146,350,446,376,NA,NA,104,28,2413
"25",1,103,10311,"San Rafael Abajo",29,15403,11064,10887,43,4107,19,27,1854,23,2772,1011,31,142,71,162,625,157,20,4339,11055,10836,579,3166,NA,30,66,66,59,1542,66,2225,723,151,NA,16,NA,187,525,727,708,NA,NA,184,35,4348
"26",1,103,10312,"Gravilias",24,12630,9569,9452,34,3871,13,20,1464,19,2598,679,17,170,31,96,440,109,8,3061,9569,9425,375,2959,NA,51,51,39,54,1326,82,2147,536,154,NA,16,NA,248,317,497,573,NA,NA,114,30,3061
"27",1,103,10313,"Los Guido",20,11867,6733,6512,72,1388,28,27,959,5,1765,1222,20,57,112,298,559,203,18,5134,6731,6507,448,872,NA,56,252,96,25,633,36,1452,632,41,NA,7,NA,66,714,517,660,NA,NA,189,35,5136
"28",1,104,10401,"Santiago",22,10045,7356,7247,30,2618,11,26,1024,6,2535,397,14,91,20,37,438,86,23,2689,7355,7221,230,2197,NA,26,50,37,18,797,13,2134,303,85,NA,12,NA,128,237,248,706,NA,NA,86,48,2690
"29",1,104,10402,"Mercedes Sur",13,4062,2925,2856,16,743,7,3,576,5,1132,175,9,19,9,16,146,55,14,1137,2924,2831,112,647,NA,9,39,22,22,387,9,945,141,47,NA,0,NA,30,72,87,262,NA,NA,53,40,1138
"30",1,104,10403,"Barbacoas",8,3272,2367,2332,5,596,7,3,354,2,987,186,4,24,11,9,144,23,12,905,2367,2307,96,512,NA,5,13,10,14,240,3,850,116,21,NA,4,NA,29,69,62,263,NA,NA,30,30,905
"31",1,104,10404,"Grifo Alto",3,908,694,683,2,168,1,0,122,0,298,32,1,4,3,4,48,10,1,214,694,677,24,145,NA,1,0,1,0,61,0,281,21,2,NA,3,NA,4,15,12,107,NA,NA,8,9,214
