"","pccdd","p","pcc","ndstrelct02","ndistadm","njuntas02","inscr02","pindob02","pmvlb02","prscnc02","prnvct02","pcmb202","palznc02","pintnl02","ppusc02","ppac02","pptrnl02","pfrzdm02","pungnr02","ppln02","pvalid02","pnulos02","pblanc02","precib02","pabst02","dindob02","dunagc02","dmvlb02","drscnc02","dcnvnl02","dagrnl02","drnvct02","daclba02","dcmb202","dalznc02","dintnl02","dpusc02","dpac02","dptrnl02","dfrzdm02","dfrgrc02","dungnr02","dpln02","dvalid02","dnulos02","dblanc02","drecib02","dabst02","rindob02","rhmnmto02","rgtind02","rophmsj02","ryntscz02","rmvlb02","rrscnc02","ralpsjo02","rhmnvrdh02","rcrrsxi02","rdelsol02","rcnvnl02","rautsrp02","rnvcorr02","rhmecbr02","raccqup02","rindblm02","raccglft02","ragrnl02","rrnvct02","raclba02","rcmb202","rgrbecl02","rintnl02","raccsiqi02","rautpr02","rpusc02","rpac02","raljnva02","rptrnl02","rfrzdm02","rfrgrc02","rungnr02","rpln02","rcnclmn02","rvalid02","rnulos02","rblanc02","rrecib02","rabst02","distrito","nddee2006","njuntas06","inscr06","precib06","pvalid06","pclizu06","pintnl06","prnvct06","ppac06","punptr06","ppusc06","paldm06","ppln06","pptrpr06","pmvlb06","prscnc06","pfrzdm06","punacl06","punpcm06","pnulos06","pblanc06","pabst06","drecib06","dvalid06","dclizu06","dacsex06","dintnl06","drnvct06","dpac06","dnvlgf06","dunptr06","daclba06","dintpr06","dpusc06","dauthr06","dmvtrc06","daldm06","dpln06","drstnc06","dframp06","dptrpr06","dmvlb06","dacdml06","dfrgrc06","dunagc06","dgtind06","dautrc06","dfrzdm06","dunacl06","dunpcm06","dvrdec06","dnulos06","dblanc06","dabst06","rrecib06","rvalid06","rfrzcmds06","rclizu06","rintnl06","rrnvct06","rpac06","rmrvpgr06","rnvlgf06","runptr06","raclba06","rgchacc06","raccqup06","rautplr06","rintpr06","rpusc06","rauthr06","ryntscz06","rmvtrcm06","rhmnhd06","rdelsol06","raldm06","rpln06","rrstnclt06","rframp06","rptrpr06","rmvlb06","racdml06","rfrgrc06","rcrrsxi06","rgrbecl06","runagc06","raljnva06","rhmnmto06","rorglbag06","ralpsjo06","rindblm06","rgtind06","raccsiqi06","rautorm06","rautlbcr06","rautrc06","rcmnprcr06","rfrzdm06","rpntcmmr06","rautsrp06","runacl06","runnplm06","runpcm06","rvrdecl06","rnulos06","rblanc06","rabst06","njuntas10","ndistelect10","inscr10","precib10","pvalid10","ppusc10","pintnl10","palzptr10","prnvct10","pframp10","ppln10","pmvlb10","ppac10","pacsex10","pnulos10","pblanc10","pabst10","drecib10","dvalid10","dpusc10","dfrzfma10","dintnl10","dvrdec10","dalzptr10","drnvct10","dframp10","dpln10","dunagc10","drstalj10","dmvlb10","drstnc10","dmvtrc10","dalznyr10","dpac10","dtrncrt10","drsthrd10","dacsex10","dnulos10","dblanc10","dabst10","rrecib10","rvalid10","rpusc10","rcmnprcr10","rcrrsxi10","rtrrzprm10","rintnl10","rcvtbft10","rgchacc10","rvrdecl10","rtlmund10","ralzptr10","rrnvalj10","rpntcmmr10","runnplm10","rrnvct10","rclcmoun10","rframp10","rorglbag10","rclcalsc10","rvvbnair10","raccnrj10","rpln10","rgrbecl10","runagcl10","rclcbrbun10","rclcppar10","rrstalj10","rmvlb10","rrstncl10","rautorm10","rautlbcr10","rmvavsd10","raccsoqi10","raccqup10","rmvtrcm10","runcabg10","runnatn10","rorgscac10","rdelsol10","rclcbrb10","rclchdun10","ralzmyr10","rindblm10","rclcalj10","rpac10","rclclgrm10","rintbrb10","rrsthda10","raccsex10","ryntscz10","rclcfrpp10","rnulos10","rblanc10","rabst10","juntas14","inscr14","pvotosrecibidos14","pvalid14","ppase14","ppac14","ppan14","pde_los_trabajadores14","pfa14","ppin14","ppln14","pml14","ppng14","pppn14","pprc14","pprn14","ppusc14","pnulos14","pblancos14","pabs14","dvotosrecibidos14","dvotosvalidos14","dpase14","dpac14","dpadc14","dpap14","dpan14","dde_los_trabajadores14","dde_los_transportistas14","dfa14","dpin14","dpln14","dml14","dpng14","dnps14","dppid14","dppid_puntarenas14","dppn14","dprc14","dprn14","dpusc14","dverde14","dviviapuntarenas14","dnulos14","dblancos14","dabstencionismo14"
"1",10101,1,101,2,"Carmen",12,4788,1,28,5,4,2,1,24,1304,1116,1,9,3,725,3223,44,3,3270,1518,4,NA,385,19,NA,NA,34,NA,12,13,74,928,1038,16,57,NA,23,617,3220,35,15,3270,1518,4,NA,NA,8,NA,227,17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,17,NA,106,NA,NA,997,1004,NA,NA,69,NA,10,700,NA,3204,40,26,3270,1518,"Carmen",2,2,4794,3072,3037,4,37,12,1095,5,68,12,1368,22,207,16,8,106,77,29,6,1722,3072,3029,9,83,69,21,670,17,16,NA,NA,147,NA,NA,17,1127,90,159,32,295,NA,NA,NA,NA,NA,20,183,74,NA,33,10,1722,3071,3017,NA,9,59,36,730,NA,NA,142,NA,NA,NA,NA,NA,166,NA,NA,NA,NA,NA,13,1161,42,65,23,259,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,168,NA,88,NA,30,24,1723,11,2,4665,3097,3058,106,4,4,7,18,1577,411,895,36,31,8,1568,3115,3060,245,NA,82,NA,34,42,226,1245,NA,NA,362,65,NA,8,533,NA,NA,218,27,28,1550,3097,3053,211,NA,NA,NA,48,NA,NA,NA,NA,38,NA,NA,NA,45,NA,160,NA,NA,NA,NA,1326,NA,NA,NA,NA,NA,378,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,602,NA,NA,NA,188,NA,NA,27,17,1568,8,4592,3034,2998,4,1035,8,2,452,14,935,318,15,35,5,16,159,31,5,1558,3035,3001,59,821,NA,13,49,11,11,423,33,798,329,90,NA,7,NA,57,46,75,179,NA,NA,23,11,1557
"2",10102,1,101,2,"Merced",27,10607,0,87,3,32,8,6,23,2621,2133,10,8,10,1855,6796,120,26,6942,3665,14,NA,839,17,NA,NA,191,NA,34,25,78,1949,1887,59,133,NA,42,1534,6802,97,44,6943,3664,14,NA,NA,24,NA,404,13,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,38,NA,107,NA,NA,2143,1809,NA,NA,203,NA,21,1794,NA,6801,74,67,6942,3665,"Merced",2,2,10041,6236,6130,8,31,40,2625,6,207,10,2398,51,444,17,11,151,131,85,21,3805,6236,6132,19,226,69,89,1606,17,12,NA,NA,357,NA,NA,25,2087,261,240,125,589,NA,NA,NA,NA,NA,70,221,119,NA,76,28,3805,6234,6094,NA,30,65,100,1820,NA,NA,24,NA,NA,NA,NA,NA,394,NA,NA,NA,NA,NA,16,2216,167,94,82,543,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,312,NA,164,NA,91,49,3807,21,2,9723,6321,6228,273,5,6,35,24,2908,1207,1651,119,77,16,3402,6321,6229,553,NA,64,NA,59,189,292,2204,NA,NA,882,242,NA,39,1087,NA,NA,618,55,37,3402,6319,6198,535,NA,NA,NA,50,NA,NA,NA,NA,61,NA,NA,NA,184,NA,200,NA,NA,NA,NA,2324,NA,NA,NA,NA,NA,979,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,1116,NA,NA,NA,529,NA,NA,73,48,3404,17,9763,6311,6200,17,1929,19,10,1052,15,1968,606,16,127,25,86,330,98,13,3452,6312,6186,242,1521,NA,23,203,32,29,875,38,1581,499,97,NA,9,NA,159,232,261,385,NA,NA,100,26,3451
"3",10103,1,101,5,"Hospital",46,17571,4,203,10,77,28,5,59,4817,2730,17,38,23,2973,10984,199,37,11220,6351,24,NA,1366,36,NA,NA,381,NA,80,54,140,3528,2515,80,218,NA,79,2478,10979,167,75,11221,6350,34,NA,NA,32,NA,801,36,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344,NA,67,NA,233,NA,NA,3791,2450,NA,NA,224,NA,47,2800,NA,10934,180,108,11222,6349,"Hospital",5,5,18875,11531,11286,24,76,61,4414,9,375,27,4452,130,1130,20,26,249,293,193,52,7344,11534,11284,45,614,133,220,2435,26,28,NA,NA,667,NA,NA,27,3717,765,491,227,1209,NA,NA,NA,NA,NA,104,330,246,NA,184,66,7341,11531,11247,NA,80,149,224,2765,NA,NA,34,NA,NA,NA,NA,NA,750,NA,NA,NA,NA,NA,41,4076,700,279,209,1187,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,353,NA,269,NA,210,74,7344,40,5,18596,11807,11598,573,6,18,70,67,5417,2437,2710,300,183,26,6789,11809,11600,1068,NA,127,NA,92,364,692,3913,NA,NA,1584,617,NA,36,1654,NA,NA,1453,128,81,6787,11808,11560,913,NA,NA,NA,103,NA,NA,NA,NA,97,NA,NA,NA,338,NA,724,NA,NA,NA,NA,4282,NA,NA,NA,NA,NA,1536,658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,1650,NA,NA,NA,1220,NA,NA,152,96,6788,34,18788,11959,11706,66,3375,50,38,1960,11,3762,1325,27,222,64,167,639,237,16,6829,11960,11717,763,2489,NA,36,147,136,52,1612,57,2872,959,158,NA,24,NA,284,645,676,807,NA,NA,200,43,6828
"4",10104,1,101,4,"Catedral",41,15420,9,144,4,52,26,3,49,3995,3371,10,27,14,2492,10196,163,40,10399,5021,31,NA,1174,32,NA,NA,297,NA,73,38,170,2898,3102,63,210,NA,94,2045,10227,109,61,10397,5023,40,NA,NA,30,NA,677,28,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,NA,85,NA,229,NA,NA,3248,2995,NA,NA,191,NA,43,2292,NA,10186,117,94,10397,5023,"Catedral",4,4,15009,9689,9547,22,70,39,4258,12,318,22,3501,85,655,16,21,251,277,112,30,5320,9684,9515,50,394,136,155,2500,41,36,NA,NA,612,NA,NA,39,2953,439,356,184,862,NA,NA,NA,NA,NA,113,375,270,NA,126,43,5325,9689,9488,NA,73,153,180,2914,NA,NA,38,NA,NA,NA,NA,NA,679,NA,NA,NA,NA,NA,35,3173,276,160,134,878,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,399,NA,277,NA,136,65,5320,32,4,15318,10338,10203,505,19,11,48,45,4556,1680,3159,180,113,22,4980,10339,10191,937,NA,153,NA,121,261,630,3460,NA,NA,1221,338,NA,54,1928,NA,NA,1088,94,54,4979,10339,10156,871,NA,NA,NA,111,NA,NA,NA,NA,146,NA,NA,NA,251,NA,449,NA,NA,NA,NA,3698,NA,NA,NA,NA,NA,1222,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,2115,NA,NA,NA,947,NA,NA,121,62,4979,29,15258,10514,10379,38,3641,19,16,1889,19,2918,923,30,217,38,113,518,117,18,4744,10516,10367,470,2801,NA,38,117,47,26,1625,70,2345,749,248,NA,37,NA,340,363,439,652,NA,NA,107,42,4742
"5",10105,1,101,1,"Zapote",41,16060,6,141,5,42,27,4,81,3966,4503,16,20,19,2809,11639,129,34,11802,4258,18,NA,1408,42,NA,NA,302,NA,74,55,261,2782,4041,90,198,NA,104,2290,11665,82,55,11802,4258,24,NA,NA,80,NA,770,29,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,65,NA,314,NA,NA,3063,3850,NA,NA,185,NA,39,2850,NA,11617,106,77,11800,4260,"Zapote",2,2,16974,12010,11874,19,88,39,5634,13,253,22,4232,91,809,23,16,265,370,102,34,4964,12009,11859,42,746,187,192,3489,52,23,NA,NA,555,NA,NA,37,3619,553,448,193,983,NA,NA,NA,NA,NA,91,335,314,NA,113,37,4965,12009,11797,NA,53,182,192,4069,NA,NA,41,NA,NA,NA,NA,NA,743,NA,NA,NA,NA,NA,31,4031,363,169,130,1000,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,331,NA,334,NA,143,69,4965,36,2,17556,12914,12788,376,15,8,50,41,5814,1739,4538,207,102,24,4642,12912,12776,870,NA,167,NA,143,272,863,4418,NA,NA,1251,524,NA,60,2779,NA,NA,1429,96,40,4644,12913,12742,911,NA,NA,NA,121,NA,NA,NA,NA,131,NA,NA,NA,258,NA,546,NA,NA,NA,NA,4813,NA,NA,NA,NA,NA,1225,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,3024,NA,NA,NA,1220,NA,NA,119,52,4643,33,17937,13442,13300,41,5740,21,23,1821,23,3649,1031,42,262,42,127,478,132,10,4495,13441,13275,425,4403,NA,55,104,55,44,1698,97,3033,918,331,NA,26,NA,383,365,704,634,NA,NA,129,37,4496
"6",10106,1,101,1,"San Francisco de Dos",43,16936,3,114,10,50,25,5,72,3770,5366,8,21,10,2849,12303,109,19,12431,4505,19,NA,1504,35,NA,NA,325,NA,71,59,269,2653,4737,71,200,NA,127,2250,12320,84,42,12446,4490,37,NA,NA,35,NA,801,25,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,NA,78,NA,329,NA,NA,3073,4710,NA,NA,201,NA,48,2634,NA,12290,86,67,12443,4493,"San Francisco de Dos Ríos",2,2,17960,12659,12540,14,67,36,6162,14,223,20,4545,88,684,24,24,276,363,101,18,5301,12663,12536,32,559,172,200,3945,49,37,NA,NA,547,NA,NA,28,3808,639,410,206,1020,NA,NA,NA,NA,NA,103,443,338,NA,102,25,5297,12663,12486,NA,62,182,182,4480,NA,NA,30,NA,NA,NA,NA,NA,779,NA,NA,NA,NA,NA,40,4047,413,158,120,952,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,149,NA,NA,453,NA,399,NA,129,48,5297,38,2,18426,13551,13429,363,19,10,57,60,6401,1751,4598,170,108,14,4875,13552,13416,796,NA,219,NA,136,312,821,4896,NA,NA,1426,412,NA,195,2932,NA,NA,1271,100,36,4874,13552,13385,792,NA,NA,NA,142,NA,NA,NA,NA,152,NA,NA,NA,314,NA,590,NA,NA,NA,NA,5226,NA,NA,NA,NA,NA,1413,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,NA,NA,3209,NA,NA,NA,1030,NA,NA,121,46,4874,35,18430,13973,13845,21,6407,26,10,1701,26,3760,987,22,240,25,93,527,115,13,4457,13968,13826,346,5068,NA,50,110,48,26,1624,88,3099,935,334,NA,23,NA,409,380,587,699,NA,NA,117,25,4462
"7",10107,1,101,5,"Uruca",31,11550,4,140,3,71,14,5,28,2760,2388,15,18,11,2093,7550,130,16,7696,3854,11,NA,940,15,NA,NA,301,NA,41,31,82,1991,2232,66,122,NA,45,1685,7562,82,54,7698,3852,18,NA,NA,17,NA,546,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,NA,36,NA,107,NA,NA,2242,2242,NA,NA,119,NA,31,1877,NA,7553,71,72,7696,3854,"Uruca",6,6,12583,8039,7882,10,15,47,2907,3,187,12,3382,79,841,14,10,152,223,126,31,4544,8040,7866,19,242,56,178,1784,17,22,NA,NA,334,NA,NA,25,2899,401,191,137,968,NA,NA,NA,NA,NA,55,361,177,NA,126,48,4543,8039,7853,NA,35,60,173,2058,NA,NA,30,NA,NA,NA,NA,NA,364,NA,NA,NA,NA,NA,29,3059,275,81,101,997,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,321,NA,192,NA,126,60,4544,29,6,13229,8903,8751,323,8,15,51,23,4232,1948,1999,152,131,21,4326,8903,8731,585,NA,79,NA,69,324,348,3331,NA,NA,1485,353,NA,32,1356,NA,NA,769,117,55,4326,8902,8702,561,NA,NA,NA,43,NA,NA,NA,NA,54,NA,NA,NA,261,NA,242,NA,NA,NA,NA,3716,NA,NA,NA,NA,NA,1409,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,1457,NA,NA,NA,637,NA,NA,121,79,4327,28,14190,9498,9316,56,2995,19,28,1227,4,2732,1383,22,144,68,105,533,162,20,4692,9491,9305,449,2237,NA,27,143,54,51,994,38,2219,1103,199,NA,7,NA,225,427,419,713,NA,NA,143,43,4699
"8",10108,1,101,1,"Mata Redonda",19,7421,0,79,1,35,16,0,12,1839,1966,5,7,2,1388,5350,37,9,5396,2025,6,NA,709,14,NA,NA,96,NA,27,8,67,1331,1804,29,64,NA,50,1141,5346,33,17,5396,2025,6,NA,NA,18,NA,415,3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,25,NA,61,NA,NA,1583,1765,NA,NA,60,NA,27,1251,NA,5328,32,36,5396,2025,"Mata Redonda",2,2,7482,5187,5133,10,17,21,1678,7,118,10,2544,19,375,16,8,134,176,35,19,2295,5191,5136,26,160,24,57,1164,25,23,NA,NA,218,NA,NA,16,2158,125,100,63,557,NA,NA,NA,NA,NA,49,235,136,NA,37,18,2291,5188,5110,NA,26,34,70,1335,NA,NA,20,NA,NA,NA,NA,NA,274,NA,NA,NA,NA,NA,15,2223,82,43,37,529,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,207,NA,171,NA,38,40,2294,15,2,7347,5159,5117,186,6,2,20,17,2931,718,1166,71,38,4,2188,5160,5103,388,NA,54,NA,32,106,195,2445,NA,NA,594,67,NA,17,818,NA,NA,387,44,13,2187,5160,5095,325,NA,NA,NA,26,NA,NA,NA,NA,35,NA,NA,NA,93,NA,130,NA,NA,NA,NA,2588,NA,NA,NA,NA,NA,588,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,910,NA,NA,NA,318,NA,NA,39,26,2187,14,7290,5274,5219,12,1740,8,4,483,4,1795,738,10,88,18,28,291,47,8,2016,5275,5227,112,1369,NA,16,61,13,15,453,19,1548,728,122,NA,10,NA,116,122,150,373,NA,NA,39,9,2015
"9",10109,1,101,4,"Pavas",109,42723,10,623,14,276,52,17,113,10828,8442,47,62,47,6861,27392,621,91,28104,14619,42,NA,4303,104,NA,NA,1172,NA,113,147,320,7481,7506,184,468,NA,174,5420,27434,464,205,28103,14620,59,NA,NA,142,NA,2599,79,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114,NA,124,NA,430,NA,NA,8076,7318,NA,NA,745,NA,139,6421,NA,27382,434,283,28099,14624,"Pavas",4,4,46289,29448,28959,36,71,267,9709,24,715,60,12819,265,3507,53,45,546,842,404,85,16841,29444,28866,102,876,166,1019,5952,86,177,NA,NA,1215,NA,NA,142,10718,1645,561,554,3763,NA,NA,NA,NA,NA,177,1011,702,NA,460,118,16845,29451,28821,NA,132,193,1035,6291,NA,NA,735,NA,NA,NA,NA,NA,1256,NA,NA,NA,NA,NA,157,11295,1171,268,425,3478,NA,NA,NA,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,NA,NA,NA,182,NA,NA,1172,NA,870,NA,473,157,16838,97,4,47928,32036,31448,1466,37,33,270,96,15431,6996,6494,625,527,61,15892,32031,31411,2626,NA,219,NA,257,1920,981,11402,NA,NA,4783,1261,NA,131,4414,NA,NA,3417,445,175,15897,32035,31310,3022,NA,NA,NA,221,NA,NA,NA,NA,211,NA,NA,NA,1886,NA,731,NA,NA,NA,NA,11822,NA,NA,NA,NA,NA,4824,1046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,NA,4636,NA,NA,NA,2771,NA,NA,524,201,15893,87,49009,33004,32363,151,9575,166,65,4176,42,10102,4681,121,500,287,685,1812,595,46,16005,33011,32314,1593,7159,NA,70,540,228,106,3339,120,7358,3373,653,NA,34,NA,689,2305,2536,2211,NA,NA,559,138,15998
"10",10110,1,101,2,"Hatillo",106,41974,18,472,12,270,83,25,164,10814,8198,40,53,34,7612,27795,544,84,28423,13551,166,NA,3824,102,NA,NA,1359,NA,227,152,476,7644,7092,188,458,NA,184,6011,27883,402,144,28429,13545,199,NA,NA,376,NA,2219,91,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1348,NA,238,NA,601,NA,NA,8235,6752,NA,NA,486,NA,68,6663,NA,27831,372,220,28423,13551,"Hatillo",4,4,43434,27790,27318,69,152,224,11707,24,768,47,10189,295,2409,40,40,603,751,398,74,15644,27782,27265,147,1852,208,836,6354,73,66,NA,NA,1306,NA,NA,101,8570,2071,1172,572,2525,NA,NA,NA,NA,NA,183,696,533,NA,412,105,15652,27775,27189,NA,207,289,931,7621,NA,NA,94,NA,NA,NA,NA,NA,1426,NA,NA,NA,NA,NA,128,9360,1600,645,488,2625,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,221,NA,NA,759,NA,693,NA,412,174,15659,90,4,43806,28967,28492,1393,23,36,221,122,12967,5236,7643,851,423,52,14839,28962,28444,2225,NA,264,NA,251,1630,1484,8940,NA,NA,3221,1369,NA,118,4438,NA,NA,4504,379,139,14844,28967,28365,1968,NA,NA,NA,255,NA,NA,NA,NA,240,NA,NA,NA,1510,NA,1189,NA,NA,NA,NA,9701,NA,NA,NA,NA,NA,3346,1178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,NA,4691,NA,NA,NA,4147,NA,NA,441,161,14839,75,43653,29751,29213,175,9645,55,61,5166,54,8863,2349,109,447,215,519,1555,500,38,13902,29732,29134,1761,7255,NA,104,262,260,153,4314,166,6686,1757,541,NA,48,NA,614,1574,1877,1762,NA,NA,480,118,13921
